airline_sentiment,clean_tweet,vader
positive,plus you have added commercials to the experience... tacky.,0
neutral,I did not today... Must mean I need to take another trip!,0
negative,"it is really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",-0.2716
negative,and it is a really big bad thing about it,-0.5829
negative,seriously would pay $ a flight for seats that did not have this playing. it is really the only bad thing about flying VA,-0.5945
positive,"yes, nearly every time I fly VX this aear worma wonat go away :)",0.6908
neutral,"Really missed a prime opportunity for Men Without Hats parody, there.",0.079
positive,"Well, I did notabut NOW I DO! :-D",0.7525
positive,"it was amazing, and arrived an hour early. you are too good to me.",0.7717
neutral,did you know that suicide is the second leading cause of death among teens -,-0.8555
positive,I &lt; pretty graphics. so much better than minimal iconography. :D,0.8863
positive,This is such a great deal! Already thinking about my nd trip to &amp; I haven't even gone on my st trip yet! ;p,0.6892
positive,I am flying your skies again! U take all the away from travel,0
negative,SFO-PDX schedule is still MIA.,-0.4466
positive,So excited for my first cross country flight LAX to MCO I have heard nothing but great things about Virgin America.,-0.5566
negative,I flew from NYC to SFO last week and could not fully sit in my seat due to two large gentleman on either side of me. HELP!,0.5754
positive,I ai flying aid,0
positive,you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0.8795
negative,why are your first fares in May over three times more than other carriers when all seats are available to select???,0
positive,I love this graphic.,0.6369
positive,I love the hipster innovation. You are a feel good brand.,0.8658
neutral,will you be making BOS&gt;LAS non stop permanently anytime soon?,-0.296
negative,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... d! I want free internet,0.68
negative,status match program. I applied and it is been three weeks. Called and emailed with no response.,-0.296
negative,What happened ur vegan food options?! At least say on ur site so i know I will not be able eat anything for next hrs,0
neutral,do you miss me? do not worry we will be together very soon.,0.2037
negative,amazing to me that we can not get any cold air from the vents.,0.5859
neutral,LAX to EWR - Middle seat on a red eye. Such a noob maneuver.,-0.0516
negative,"hi! I just bked a cool birthday trip with you, but i can not add my elevate no. cause i entered my middle name during Flight Booking Problems d cent",-0.4926
neutral,Are the hours of operation for the Club at SFO that are posted online current?,0
negative,"help, left expensive headphones on flight IAD to LAX today. Seat A. No one answering L&amp;F number at LAX!",0.2714
negative,"awaiting my return phone call, just would prefer to use your online self-service option :(",-0.4404
positive,this is great news! America could start flights to Hawaii by end of year via @Pacificbiznews,0.6588
neutral,Nice RT Vibe with the moodlight from takeoff to touchdown.,0.4215
positive,Moodlighting is the only way to fly! Best experience EVER! Cool and calming. da,0.8684
positive,"Done and done! Best airline around, hands down!",0.6988
neutral,when can I book my flight to Hawaii??,0
negative,Your chat support is not working on your site:,0.4019
positive,"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!",0
negative,"Hey, first time flyer next week - excited! But I am having a hard time getting my flights added to my Elevate account. Help?",0.6049
neutral,plz help me win my bid upgrade for my flight / LAX---&gt;SEA!!! dddai,0.826
neutral,I have an unused ticket but moved to a new city where you do not fly. How can I fly with you before it expires?,0
neutral,are flights leaving Dallas for Seattle on time Feb ?,0
positive,I am for a good reason: you rock!!,0.5399
positive,wow this just blew my mind,0.5859
neutral,After last night I think agree,0.3612
neutral,"Is flight on it is way? Was supposed to take off minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",-0.3412
positive,Julie Andrews all the way though was very impressive! NO to @Carrieunderwood,0.1714
neutral,wish you flew out of Atlanta... Soon?,0.4019
neutral,Julie Andrews. Hands down.,0
neutral,Will flights be leaving Dallas for LA on February th?,0
negative,hi! I am so excited about your $ LGA-&gt;DAL deal- but I have been trying book since last week &amp; the page never loads. thx!,-0.2939
positive,you know it. Need it on my spotify stat,0
positive,I am Lady Gaga!!! She is amazing! d,0.7156
neutral,New marketing song? let us know what you think?,0
neutral,Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,-0.1154
negative,I called a - weeks ago about adding flights from to my Elevate...they still haven't shown up...help!,0
neutral,"all are great , but I have to go with dd",0.3716
neutral,"Sorry, Mary Martin had it first!",-0.1511
positive,love all three but you really can not beat the classics!,0.4389
neutral,Flight DAL to DCA / : pm. Tried to check in could not. Status please.,-0.2411
negative,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,-0.0258
negative,"Hi, Virgin! I am on hold for - minutes -- are there any earlier flights from LA to NYC tonight; earlier than : pm?",0
positive,Congrats on winning the award for Best Deals from an Airline (US),0.9382
negative,everything was fine until you lost my bag,-0.128
neutral,Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,0.4515
neutral,I emailed your customer service team. Let me know if you need the tracking number.,0.0772
neutral,"hi I just booked a flight but need to add baggage, how can I do this?",0
negative,your airline is awesome but your lax loft needs to step up its game. $ for dirty tables and floors?,-0.3182
positive,"not worried, it is been a great ride in a new plane with great crew. All airlines should be like this.",0.9116
