airline_sentiment,clean_tweet
positive,plus you have added commercials to the experience... tacky.
neutral,I did not today... Must mean I need to take another trip!
negative,"it is really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,and it is a really big bad thing about it
negative,seriously would pay $ a flight for seats that did not have this playing. it is really the only bad thing about flying VA
positive,"yes, nearly every time I fly VX this aear worma wonat go away :)"
neutral,"Really missed a prime opportunity for Men Without Hats parody, there."
positive,"Well, I did notabut NOW I DO! :-D"
positive,"it was amazing, and arrived an hour early. you are too good to me."
neutral,did you know that suicide is the second leading cause of death among teens -
positive,I &lt; pretty graphics. so much better than minimal iconography. :D
positive,This is such a great deal! Already thinking about my nd trip to &amp; I haven't even gone on my st trip yet! ;p
positive,I am flying your skies again! U take all the away from travel
negative,SFO-PDX schedule is still MIA.
positive,So excited for my first cross country flight LAX to MCO I have heard nothing but great things about Virgin America.
negative,I flew from NYC to SFO last week and could not fully sit in my seat due to two large gentleman on either side of me. HELP!
positive,I ai flying aid
positive,you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
negative,why are your first fares in May over three times more than other carriers when all seats are available to select???
positive,I love this graphic.
positive,I love the hipster innovation. You are a feel good brand.
neutral,will you be making BOS&gt;LAS non stop permanently anytime soon?
negative,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... d! I want free internet
negative,status match program. I applied and it is been three weeks. Called and emailed with no response.
negative,What happened ur vegan food options?! At least say on ur site so i know I will not be able eat anything for next hrs
neutral,do you miss me? do not worry we will be together very soon.
negative,amazing to me that we can not get any cold air from the vents.
neutral,LAX to EWR - Middle seat on a red eye. Such a noob maneuver.
negative,"hi! I just bked a cool birthday trip with you, but i can not add my elevate no. cause i entered my middle name during Flight Booking Problems d cent"
neutral,Are the hours of operation for the Club at SFO that are posted online current?
negative,"help, left expensive headphones on flight IAD to LAX today. Seat A. No one answering L&amp;F number at LAX!"
negative,"awaiting my return phone call, just would prefer to use your online self-service option :("
positive,this is great news! America could start flights to Hawaii by end of year via @Pacificbiznews
neutral,Nice RT Vibe with the moodlight from takeoff to touchdown.
positive,Moodlighting is the only way to fly! Best experience EVER! Cool and calming. da
positive,"Done and done! Best airline around, hands down!"
neutral,when can I book my flight to Hawaii??
negative,Your chat support is not working on your site:
positive,"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains!"
negative,"Hey, first time flyer next week - excited! But I am having a hard time getting my flights added to my Elevate account. Help?"
neutral,plz help me win my bid upgrade for my flight / LAX---&gt;SEA!!! dddai
neutral,I have an unused ticket but moved to a new city where you do not fly. How can I fly with you before it expires?
neutral,are flights leaving Dallas for Seattle on time Feb ?
positive,I am for a good reason: you rock!!
positive,wow this just blew my mind
neutral,After last night I think agree
neutral,"Is flight on it is way? Was supposed to take off minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive,Julie Andrews all the way though was very impressive! NO to @Carrieunderwood
neutral,wish you flew out of Atlanta... Soon?
neutral,Julie Andrews. Hands down.
neutral,Will flights be leaving Dallas for LA on February th?
negative,hi! I am so excited about your $ LGA-&gt;DAL deal- but I have been trying book since last week &amp; the page never loads. thx!
positive,you know it. Need it on my spotify stat
positive,I am Lady Gaga!!! She is amazing! d
neutral,New marketing song? let us know what you think?
neutral,Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative,I called a - weeks ago about adding flights from to my Elevate...they still haven't shown up...help!
neutral,"all are great , but I have to go with dd"
neutral,"Sorry, Mary Martin had it first!"
positive,love all three but you really can not beat the classics!
neutral,Flight DAL to DCA / : pm. Tried to check in could not. Status please.
negative,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative,"Hi, Virgin! I am on hold for - minutes -- are there any earlier flights from LA to NYC tonight; earlier than : pm?"
positive,Congrats on winning the award for Best Deals from an Airline (US)
negative,everything was fine until you lost my bag
neutral,Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral,I emailed your customer service team. Let me know if you need the tracking number.
neutral,"hi I just booked a flight but need to add baggage, how can I do this?"
negative,your airline is awesome but your lax loft needs to step up its game. $ for dirty tables and floors?
positive,"not worried, it is been a great ride in a new plane with great crew. All airlines should be like this."
positive,awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral,"Or watch some of the best student films in the country at , feet!"
neutral,first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative,what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
neutral,what happened to Doom?!
negative,why can not you supp the biz traveler like and have customer service like
positive,I have applied more then once to be a member of the crew team...Im % interested. -G
negative,you are the best!! Whenever I (begrudgingly) use any other airline I am delayed and Late Flight :(
negative,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.
negative,it was a disappointing experience which will be shared with every business traveler I meet.
negative,Iam having trouble adding this flight my wife booked to my Elevate account. Help?
neutral,can not bring up my reservation online using Flight Booking Problems code
neutral,Random Q: what is the distribution of elevate avatars? I bet that kitty has a disproportionate share
neutral,I &lt; Flying VA But Life happens and I am trying to my trip JPERHI Can you help.VA home page will not let me ?
negative,Why is the site down? When will it be back up?
neutral,"""You down with RNP?"" ""Yeah you know me!"""
neutral,"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative,"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly"
neutral,why is flight redirected?
negative,"Is it me, or is your website down? BTW, your new website is not a great user experience. Time for another redesign."
negative,I can not check in or add a bag. Your website is not working. I have tried both desktop and mobile
negative,- Let scanned in passengers leave the plane than told someone to remove their bag from st class bin?
negative,What is your phone number. I can not find who to call about a flight reservation.
negative,is anyone doing anything there today? Website is useless and no one is answering the phone.
neutral,trying to add my boy Prince to my ressie. SF this Thursday from LAX
negative,why must a traveler miss a flight to Late Flight check a bag? I missed my morning appointments and you lost my business.
neutral,check out new music
negative,how is a direct flight FLL-&gt;SFO have unexpected layover in Vegas fuel yet peeps next to me bought for Vegas flight.
negative,your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
positive,"- amazing customer service, again! dd RaeAnn in SF - she is the best!"
negative,called your service line and was hung up on. This is awesome.
negative,your site is tripping. I am trying to check in and I am getting the plain text version. I am reluctant to enter any card info.
neutral,I was scheduled for SFO DAL flight today. Changed to th due weather. Looks like flight still on?
positive,"has getaway deals through May, from $ one-way. Lots of cool cities"
neutral,"has getaway deals through May, from $ one-way. Lots of cool cities"
positive,"has getaway deals through May, from $ one-way. Lots of cool cities"
neutral,"has getaway deals through May, from $ one-way. Lots of cool cities"
positive,Have a great week da
positive,come back to already. We need you to take us out of this horrible cold.
negative,"should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive,"is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive,"Love the team running Gate E at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative,Use another browser! &amp; a brand with a reputation built on tech response does not have a cross-browser compatible website?
negative,"And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
negative,I like the customer service but a min delay just for connecting passengers seems too long. VA
positive,thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive,you have the absolute best team and customer service ever. Every time I fly with you I am delighted. Thank you!
neutral,"Do you provide complimentary upgrades to first class, if there are available seats?"
negative,i need to change my flight thats scheduled in hours and min wait time on phone. Im calling intern. Help!!
positive,completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time.
neutral,How can I watch the on my JFK-&gt;SFO flight?
neutral,is flight Cancelled Flightled and what do I do if it is?
negative,you are failing your customers because your check in process does not link to TSA pre-check.
negative,us too! Terrible airline! Just gave us a hotel hotline number and said sorry
neutral,has flight number from SFO to Cabo San Lucas arrived yet?
negative,your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline Shame on you!
negative,I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
positive,you ROCK for making it so I can watch on my flight!!
neutral,dropped a track on you...
negative,why can not we book seats on your flights when we buy them or even during check in? Creates so much anxiety!
negative,you would think paying an extra $ bucks RT for luggage might afford you hiring an extra hand at
positive,best customer service rep in the world! takes the cake!!!
neutral,Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service d
negative,please provide status for flight . I cant imagine it is on time as the Web indicates dude to weather here and/or Dallas
positive,you have amazing staff &amp; super helpful as I just ran the they have spoiled me with comfort!!!
negative,"I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative,question: is it not possible to book a seat for an infant under ? it is not giving me the option but we want a seat for him.
positive,Always have it together!!! you are welcome! RT you are so welcome.
positive,home to in' back to !
negative,. I do not understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,. does that mean you do not have a policy for destroyed luggage?
neutral,is there special assistance if I travel alone w/ kids and infant? Priority boarding?
positive,thank you for checking in. tickets are purchased and customer is happy ;-)
neutral,is your website ever coming back online?
neutral,"- Is Flight from Love Field to SFO definitely Cancelled Flightled for Monday, February ?"
neutral,Is flight out of LGA to DFW on time?
neutral,my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative,having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone. phone is minute wait.
negative,How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative,"I rang, but there is a wait for minutes!! I can book the same ticket through a vendor, fix your site"
negative,"got a flight (we were told) for : today..,checked my email and its for ; TOMORROW. This is unacceptable."
negative,"our flight into lga was Cancelled Flighted. we are stuck in Dallas. I called to reschedule, told I could get a flight for today...( / )"
negative,why do not any of the pairings include red wine?! Only white is offered :(
negative,is the website down?
negative,- Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS?
negative,I am disappointed that the agent at the designated silver status check in line closed to assist all pasengers
neutral,Plans to Include Austin to its Dallas Route - TopNews Arab
negative,Is it normal to receive no reply from Central Baggage
negative,at Logan airport and waiting to checkin for my am flight. Checkin desk not open !!!!! Why?!
neutral,to jump into the Dallas-Austin market -
neutral,"Beats EPS Views, Takes On VA LUV - Investor's Business Daily"
neutral,Lister to my show my on Monday
neutral,to begin Dallas-Austin in April - . KETR
negative,"congrats, you just got all my business from EWR to SFO/LAX. Fuck you fl SFO/EWR was the clincher..."
negative,I applied over weeks ago. Haven't heard back and I am flying this week
neutral,I would love to know what your policy is for damaged luggage.
positive,Thank you for the follow
negative,- too many apologies! You r the worse airlines! do not even respond to your cudtomers
negative,shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral,can you please have flights in SJC ? I have no choice but to fly Southwest to Vegas d(C)d-
negative,too bad you say it takes to days via YOUR confirmation email. When I inquired after weeks you claim to weeks!
negative,Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are + hour. Will you rebook on another airline?
positive,d RT Youave met your match. Got status on another airline? Upgrade (+restr):
positive,Only way to fly!
neutral,If only you guys had flights from CMH.
negative,"a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative,for all my flight stuff wrong and did nothing about it. Had ever
neutral,Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive,you will match my status? Cool!
neutral,a met your match.Got status on another airline? Upgrade : ? d
negative,trying to book a flight with you guys and your website will not let me... about to lose my business
negative,Just DM'd. Same issue persisting.
negative,Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,trying to book a flight &amp; your site is down d
negative,You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and did not do anything
negative,you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook . better
positive,I love your guy's song! we are dancing to it for our high school dance revue
negative,Your website is down and I am trying to check in!
positive,"done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral,nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
