sentiment,text,clean_tweet
3,#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx,:The best Steve Jobs emails ever...
3,"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl
http://t.co/hGFcjYa0E9",RT Why AAPL Stock Had a Mini-Flash Crash Today $AAPL
3,My cat only chews @apple cords. Such an #AppleSnob.,My cat only chews cords. Such an .
3,"I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see","I agree with that the should own not trade , it is extended so today's pullback is good to see"
3,Nobody expects the Spanish Inquisition #AAPL,Nobody expects the Spanish Inquisition
3,#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS,: Rocket Stocks to Buy for December Gains: Apple and More...
5,Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB,Top all . Damn right!
5,CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK,CNBCTV: 's margins better than expected?
3,Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL,Apple Inc. Flash Crash: What You Need to Know
3,#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd,:This Presentation Shows What Makes The World's Biggest Tech Companies ...
1,WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,WTF MY BATTERY WAS % ONE SECOND AGO AND NOW IS % WTF IS THIS @apple
3,Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 #AAPL #iWatch #AppleWatch,Apple Watch Tops Search Engine List of Best Wearable Tech
3,"The Best-Designed #iPhone #Apps In the World, According to @apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz","The Best-Designed In the World, According to"
5,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3,RT Bought my at the store..pretty good logo match . can not wait to install it!
1,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,Contact sync between Yosemite and iOS is seriously screwed up. It used to be much more stable in the past.
3,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors,Thanks to the non factual dumb Twitter followers stock drops points in one minute. Thanks dummies.
1,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,WARNING IF YOU BUY AN IPHONE S UNLOCKED FROM IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
3,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?,thanks for xtra checkin at upper westside store- but why are appointments running almost minutes late?
3,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3,Why Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel...
3,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH,The JH Hines Staff with their newly issued Macbook and iPad mini
3,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,You need an IP portfolio to defend against big companies - just look at court battles
1,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc","For the love of GAWD, CENTER the ' 'on the damn calendar app. You fixed it once, its back, off center, AGAIN!"
1,i get the storage almost full notification literally every 5 minutes chill @apple,i get the storage almost full notification literally every minutes chill @apple
1,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n,I had to do made the from iPhone to the galaxy note edge. keep up
1,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,me RT can not stand those ppl with stickers everywhere. / they prob just bought an iPod shuffle
3,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,Justice Department cites th century federal law to get to unlock iPhones:
5,Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads,Latest Apple Products Leading in Efficiency
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz,Good be huge RT Justice Department cites th century federal law to get to unlock iPhones:
3,@thehill @Apple i cite the 4th amendment as a retort,i cite the th amendment as a retort
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
5,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.,RT Thanks...thinking of upgrading.
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1,Way to stay relevant RT Justice Department cites th century federal law to get to unlock iPhones:
3,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL,Apple Inc. Flash Crash: What You Need to Know
3,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc",need help on using your &amp; ?
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me
3,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed,RT The JH Hines Staff with their newly issued Macbook and iPad mini
1,Nigga update yall headphones @Apple,Nigga update yall headphones @Apple
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.","Ok, You win. I will not use your browser anymore since it keeps closing on me. Literally times today. I counted."
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
1,@apple U need to get ur fucking shit together and let me txt while on YouTube,U need to get ur fucking shit together and let me txt while on YouTube
1,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,Wish we could prosecute the admin for violation of privacy and criminal search and seizure
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.,Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.
1,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb,:Here's why Apple dropped...
3,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn,This one chart explains affect on Paints an interesting story. What do you think?
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ","Final for Monday, December ,"
3,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd,Launches Red Logo for World AIDS Day: Dec. is World AIDS Day and the red Apple logo will be abl...
3,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL,Companies Growing Faster Than Apple Inc.
1,@apple why doesn't your people explain precautions when buying an expensive laptop,why does not your people explain precautions when buying an expensive laptop
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,@Quailman_ @Apple u was bored huh,u was bored huh
3,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles,RT You need an IP portfolio to defend against big companies - just look at court battles
1,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple","As a die hard customer, I must say I am truly displeased with the customer service I was given today."
1,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it,made it clear today that I as a customer are not worth a measly $ !! An employee gave mis info and they will not stand behind it
3,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED,INSPI(RED) by and on . % of in go to fight AIDs. Get and @RED
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems,GB Air Retina WiFi Tablet $ + Free Shipping via
5,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV,Photo: Love IOS ...
1,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.,Why does force people to use its VPN built in to iOS ? Off button does not work FFS. Like I want Apple's NSA data collection service.
1,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM,Then how the hell did I take this screenshot?
3,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF,RT Department cites th century federal law to get to unlock iPhones:
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv,Buy round lot on the open MT stock briefly dove . % today. Analysts not sure why
1,3G is draining my battery fix this @apple,G is draining my battery fix this @apple
1,@apple your chargers suck ass! They just love to break!,your chargers suck ass! They just love to break!
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
3,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX",":My Three Horsemen Of The NASDAQ : Apple, Microsoft And Gilead Scie..."
3,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,RT Justice Department cites th century federal law to get to unlock iPhones:
1,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad,I am hoping will not automatically make us download Bruce Springsteen and U singing together.
1,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!,What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. IS NOT OVER!
1,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,RT Wish we could prosecute the admin for violation of privacy and criminal search and seizure
3,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8,The game play in the name of
3,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx,: Steve Jobs emails you need to read...
1,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
1,Thisn#Yosemite update is stressing me out @apple #macbookpro,Thisn update is stressing me out
1,Just broke my 3rd charger of the month. Get your shit together @apple,Just broke my rd charger of the month. Get your shit together @apple
1,"This iPhone 6 battery isn't as good as you claim, @apple","This iPhone battery is not as good as you claim, @apple"
1,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,big fall. fell - % on Monday! See whether follow up ..
3,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA","face big change over []'s Google search choice. (, )"
3,RT @chanchan1717: @aydlettgwyn13 @apple please educate us,RT please educate us
5,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good.","Just updated my ram to gb. you guys are like shallow gf's. Take all the money, but dammit you look good."
