clean_tweet,Timestamp,vader
"The only solution I have ever heard the Left propose for climate change is more taxes, more control and less freedom. They have one playbook and it fails every single time. , , . K",2022-01-17T23:32:38Z,0.5279
Climate change does not cause volcanic eruptions.,2022-01-17T22:54:02Z,0.0
Vaccinated tennis ball boy collapses in the tennis court due to climate change.,2022-01-17T23:51:41Z,-0.296
"North America has experienced an average winter, with temperatures and snowfall totals in line with historical trends. Do not be fooled. This phenomenon is known as ""Asymptomatic Climate Change"".",2022-01-17T21:42:04Z,0.2924
they are gonna do the same with Climate Change when it starts to get really bad. Quote Tweet rec Jan They really want you to fucking live with covid.,2022-01-17T21:10:40Z,-0.4939
"HELLO AMERICA, Who would have ever thought the World could be taken; by fearing Climate Change, the Common Cold, and the FLU?",2022-01-17T21:41:46Z,-0.7925
fucking hell this weather makes me really fucking anxious bc climate change is only getting worse and worse and my god we will all be dead within a couple of years,2022-01-17T23:23:28Z,-0.9506
Great to finally have this important UNESCO/SCOR publication finished outlining techniques and approaches to tackling harmful algal bloom research in the context of climate change. Thanks to all the authors for excellent chapters.,2022-01-17T22:19:19Z,0.9136
"Climate change is one of the world's most pressing problems. So, it makes no sense when mainstream media publishes an article about with a paywall. This is profit over people and planet. Should be FREE front-page news everyday.",2022-01-17T23:08:50Z,0.4127
"Can people start questioning the ""Johnson got the big calls right"" crap? Worst Covid cases in Western Europe, Afghanistan, climate change, corrupt contracts to cronies, Brexit, backhanders.",2022-01-17T22:44:14Z,-0.7964
"I am raising two kids and, ya know, I guess I just can not be polite, courteous, and respectful to people like Joe Manchin who are threatening their near-and-long-term futures with his failures to protect U.S. democracy and address climate change.",2022-01-17T21:22:21Z,-0.2505
"Ronald Reagan ( ): ""Because changes in the earth's natural systems can have tremendous economic and social effects, global climate change is becoming a critical concern."" GIF ALT",2022-01-17T21:48:24Z,-0.3818
could have a material impact on this year. - - - - - prices - change and security,2022-01-17T22:03:54Z,0.34
The climate crisis is front page news in South Gippsland. The community is connecting the dots between climate change and coastal erosion. it is time for govts to act!,2022-01-17T22:41:00Z,-0.6588
"There is a systemic problem with academic modellers in most fields, certainly pandemics and climate change. They cannot be trusted, but there is no penalty for the modellers in being so incompetent. In fact they are often rewarded. :/ Quote Tweet Parnell Palme McGuinness Jan Interesting read.",2022-01-17T21:58:52Z,0.1767
"Every day, I wake up to the news of environmental injury with impunity. With the huge Global Crisis on Climate Change Mitigation options & strategies, one wonders why the gov't of Uganda is adamant in stopping this plight but instead aids it more.",2022-01-17T23:55:25Z,-0.4767
"I saw my Amish friend Elton today. ""Nice day."" I said. He replied ""Yea too nice for the middle of January."" He explained that he was worried it would warm up too fast and the sap would run early, then freeze and stop. AGAIN. He gets that climate change is a threat. And he is Amish",2022-01-17T23:07:18Z,0.4767
"... do not be the person that only thinks about the dramatic volcano this week. Just a few months ago islands across the Pacific were facing sea surges due to climate change/coastal erosion. Every year, the region's cyclone season becomes more intense due to climate change.",2022-01-17T22:58:03Z,0.1513
Is this guy real? BBC News - Climate change: Wales has 'duty' due to coal mining history bbc.co.uk Climate change: Wales has 'duty' due to coal mining history A charity director says the country's coal mining history means it has released a lot of carbon.,2022-01-17T21:29:59Z,0.4215
"Another thank you! For those teaching courses on climate justice or climate change, here's my latest piece on Critical Climate Justice that is again written (hopefully) in accessible ways by bringing theory & praxis together. PDF for anyone interested Quote Tweet Dr Lisa Schipper Jan Replying to This one is already on the syllabus Farhana!",2022-01-17T21:54:15Z,0.9183
HA HA HA ! - Yes this shows the STUPIDITY of the evil UN's CLIMATE CHANGE - WACKO'S,2022-01-17T23:50:58Z,0.52
The climate has to want to change,2022-01-17T23:16:03Z,0.0772
"Toronto Ontario; the city that thought snow ploughs were for Siberia. Welcome to the real world, you climate change snowflakes. Quote Tweet CBC Toronto Jan BREAKING: Toronto police are temporarily closing the Don Valley Parkway and Gardiner Expressway, two of the city's major arteries, due to the ""extreme weather."" Show this thread",2022-01-17T20:46:46Z,0.4588
"And there it is. This asshole thinks climate change is a more pressing issue than genocide. can not wait for social justice frauds Steve Kerr and LeBron James to come to his defense. Any comment, Adam Silver? Quote Tweet Rebel News UK Jan Chamath Palihapitiya argued that there are more pressing issues at hand such as climate change and America's failing health-care system than the oppression of millions of Muslims in China.",2022-01-17T22:49:47Z,-0.3818
They now say we have to invest in our infrastructure to protect us from climate change. What happened in investment to reduce climate change.,2022-01-17T22:21:21Z,0.3818
Unless fossil fuels are ended and deforestation and over consumption stopped - the ultimate adaption to climate change is extinction There Is No Adapting to This gizmodo.com There Is No Adapting to Extreme Weather The U.S. is hemorrhaging money and lives in the face of the climate crisis. No level of adaptation can keep up without cutting emissions.,2022-01-17T22:44:36Z,-0.8815
The truth about the devastating future climate change will bring is that there will be too much grief and suffering to bear. (Audio version now available) propublica.org The Climate Crisis Is Worse Than You Can Imagine. Here's What Happens If You Try. A climate scientist spent years trying to get people to pay attention to the disaster ahead. His wife is exhausted. His older son thinks there is no future. And nobody but him will use the outdoor...,2022-01-17T21:52:01Z,-0.9161
"it is great to have in Oelwein today. A wide range of topics were covered: prescription drugs, packer concentration, ethanol, health care, vaccine mandates, social media, fertilizer imports, BBB, open southern border, climate change, student loans & inflation.",2022-01-17T22:06:22Z,0.8074
Ikeazor: NLNG's decision to suspend gas export will address climate change challenges | TheCable,2022-01-17T22:43:49Z,-0.25
